0.86,-0.14,0.47,2.01,0.21,-1.92,66
0.87,-0.14,0.49,1.37,-0.43,-1.59,66
0.87,-0.13,0.51,0.76,-0.79,-0.91,66
0.86,-0.12,0.42,2.1,-0.58,-0.73,66
0.86,-0.15,0.51,0.85,-0.79,-0.4,66
0.85,-0.14,0.38,1.37,-0.95,-0.34,66
0.86,-0.14,0.38,1.8,-0.73,-0.09,66
0.86,-0.13,0.42,1.95,-1.13,0.03,66
0.85,-0.14,0.52,1.77,-1.46,-0.06,66
0.87,-0.17,0.52,2.2,-0.85,0.03,66
0.88,-0.15,0.4,2.77,-1.01,0.4,66
0.84,-0.14,0.52,2.01,-1.4,0.37,66
0.9,-0.15,0.44,2.62,-0.91,0.79,66
0.82,-0.15,0.52,2.04,-0.91,0.58,66
0.88,-0.15,0.41,2.56,-0.49,0.79,66
0.85,-0.13,0.4,1.98,-0.73,0.52,66
0.87,-0.13,0.46,1.55,-0.27,0.24,66
0.86,-0.14,0.43,1.37,-0.27,0.12,66
0.87,-0.13,0.48,0.76,-0.12,0.21,66
0.86,-0.14,0.47,1.68,-0.3,0.3,66
0.86,-0.15,0.47,1.74,-0.03,0.21,66
0.87,-0.14,0.47,1.37,-0.24,0.4,66
0.86,-0.14,0.47,1.37,-0.24,0.09,66
0.86,-0.14,0.47,1.13,-0.37,-0.09,66
0.86,-0.14,0.47,0.76,-0.55,-0.27,66
0.87,-0.14,0.47,0.85,-0.79,-0.52,66
0.86,-0.14,0.47,1.01,-1.01,-0.46,66
0.86,-0.14,0.47,1.16,-1.25,-0.49,66
0.86,-0.14,0.47,1.55,-1.52,-0.43,66
0.86,-0.14,0.46,1.89,-1.74,-0.34,66
0.85,-0.14,0.46,2.04,-1.86,-0.52,66
0.85,-0.14,0.46,1.95,-2.01,-0.79,66
0.85,-0.14,0.46,1.46,-2.5,-1.22,66
0.85,-0.14,0.45,1.25,-3.2,-1.4,66
0.85,-0.14,0.45,1.43,-3.96,-1.34,66
0.85,-0.13,0.44,2.16,-5.09,-1.01,66
0.84,-0.13,0.44,3.17,-6.55,-0.76,66
0.81,-0.13,0.42,4.3,-7.99,-0.73,66
0.78,-0.12,0.41,5.61,-9.36,-0.49,66
0.73,-0.12,0.4,7.2,-10.18,0.61,66
0.67,-0.09,0.38,7.04,-10.21,2.44,66
0.59,-0.06,0.35,3.93,-9.42,5.7,66
0.52,-0.05,0.33,-1.1,-9.12,10.7,66
0.46,-0.05,0.31,-4.7,-8.29,16.86,66
0.41,-0.05,0.29,-4.66,-6.1,23.26,66
0.37,-0.07,0.27,-0.7,-4.54,30,66
0.37,-0.1,0.25,6.37,-4.3,35.24,66
0.4,-0.11,0.26,13.9,-7.13,35.55,66
0.46,-0.15,0.28,21.55,-14.51,29.88,66
0.61,-0.21,0.34,32.65,-21.92,18.38,66
0.86,-0.27,0.42,45.67,-25.12,1.65,66
1.18,-0.2,0.58,43.75,-24.45,-21.49,66
1.56,-0.14,0.75,10.46,-20.24,-48.23,66
1.96,-0.09,0.85,-39.12,-13.78,-77.87,66
2.19,-0.13,0.88,-71.77,-12.29,-90.12,66
2.39,-0.18,0.88,-76.52,-15.67,-100.15,66
2.56,-0.19,0.93,-60.18,-20.85,-116.34,66
2.66,-0.11,1.02,-49.88,-25.55,-112.47,66
2.71,-0.05,1.07,-55.15,-24.57,-94.24,66
2.62,-0.05,1.01,-57.29,-22.96,-76.52,66
2.34,-0.04,0.87,-48.45,-26.04,-54.97,66
1.89,0,0.77,-39.54,-24.6,-34.54,66
1.49,0.04,0.67,-41.19,-10.18,-21.95,66
0.82,0,0.48,-50.73,2.47,-11.65,66
0.44,-0.05,0.4,-58.45,8.99,1.83,66
0.09,-0.07,0.3,-59.39,18.66,19.39,66
-0.08,-0.13,0.2,-50.03,35.88,43.54,66
-0.13,-0.18,0.12,-27.29,50.24,76.92,66
-0.11,-0.17,0.07,9.73,59.45,109.15,66
-0.08,-0.13,0.05,48.35,71.25,129.51,66
-0.06,-0.09,0.06,76.89,83.41,139.73,66
-0.04,-0.05,0.1,89.85,91.28,146.19,66
-0.03,-0.04,0.12,87.29,98.78,149.51,66
-0.05,-0.01,0.13,74.85,105.09,147.59,66
-0.06,0,0.14,57.44,108.2,140.91,66
-0.08,-0.01,0.13,40.12,111.1,131.1,66
-0.1,-0.04,0.12,25.88,114.42,119.97,66
-0.12,-0.05,0.1,14.24,116.77,108.93,66
-0.13,-0.06,0.08,4.05,117.56,97.77,66
-0.14,-0.06,0.06,-4.54,116.52,85.3,66
-0.14,-0.07,0.05,-10.46,116.1,72.53,66
-0.13,-0.08,0.02,-12.96,115.82,61.28,66
-0.11,-0.08,-0.01,-11.37,115.82,51.86,66
-0.1,-0.08,-0.02,-5.88,116.68,43.26,66
-0.09,-0.12,0.02,1.71,118.84,35.3,66
0,-0.21,0.12,8.05,120.4,24.85,66
0.26,-0.38,0.28,10.3,115.34,8.87,66
0.66,-0.7,0.55,4.82,95.85,-11.1,66
1.5,-1.16,0.72,-1.52,48.63,-47.71,66
2.24,-1.36,1.12,15.37,1.37,-127.23,66
