0.88,-0.18,0.43,5.21,-0.09,-0.21,64
0.89,-0.19,0.41,5.52,-0.4,-0.49,64
0.89,-0.16,0.44,2.99,0.4,-1.04,64
0.89,-0.14,0.44,-0.85,0.3,-1.1,64
0.88,-0.16,0.34,-2.01,0.21,-1.04,64
0.88,-0.19,0.48,-2.13,-0.09,-0.64,64
0.87,-0.18,0.4,0.06,-0.24,-0.3,64
0.86,-0.17,0.39,1.65,-0.46,0.18,64
0.86,-0.17,0.41,1.49,-1.07,0.03,64
0.87,-0.17,0.45,0.52,-1.46,-0.46,64
0.88,-0.2,0.44,0,-1.31,-0.85,64
0.9,-0.2,0.39,0.76,-1.04,-0.79,64
0.85,-0.16,0.42,0.12,-2.29,-0.67,64
0.92,-0.2,0.41,0.79,-1.16,-0.27,64
0.88,-0.17,0.37,0.37,-1.68,-0.06,64
0.88,-0.17,0.35,0.37,-1.55,0.15,64
0.89,-0.19,0.47,-1.16,-1.13,0.3,64
0.87,-0.16,0.43,-1.95,-0.76,0.4,64
0.85,-0.17,0.4,-2.38,-0.95,0.55,64
0.85,-0.16,0.41,-3.6,-0.34,0.37,64
0.85,-0.17,0.42,-3.99,-1.28,-0.06,64
0.88,-0.18,0.43,-5.76,-1.28,-0.37,64
0.89,-0.15,0.45,-13.66,-1.34,0.24,64
0.86,-0.13,0.45,-24.57,-1.46,1.86,64
0.81,-0.14,0.43,-31.65,-1.62,5.58,64
0.81,-0.15,0.42,-34.09,-4.45,9.66,64
0.83,-0.18,0.44,-30.95,-7.35,10.21,64
0.85,-0.24,0.48,-23.72,-6.52,10.91,64
0.84,-0.27,0.48,-19.6,-2.8,11.46,64
0.78,-0.23,0.47,-25.7,2.62,10.55,64
0.71,-0.18,0.44,-40.3,7.26,7.71,64
0.67,-0.18,0.42,-52.32,10.52,3.84,64
0.68,-0.25,0.39,-59.02,9.24,3.6,64
0.7,-0.31,0.43,-63.2,6.83,1.22,64
0.77,-0.41,0.51,-62.74,9.45,-1.13,64
0.82,-0.5,0.53,-61.52,9.63,-0.12,64
0.86,-0.55,0.53,-60.91,7.74,3.57,64
0.83,-0.53,0.53,-64.27,3.6,8.87,64
0.8,-0.51,0.55,-71.98,1.86,16.55,64
0.77,-0.53,0.58,-77.35,3.84,30.24,64
0.72,-0.59,0.58,-72.68,10.52,52.38,64
0.66,-0.68,0.54,-54.45,19.51,81.31,64
0.6,-0.77,0.54,-32.68,28.32,113.35,64
0.58,-0.79,0.62,-25.27,41.77,145.12,64
0.61,-0.83,0.67,-31.68,53.81,173.57,64
0.68,-0.98,0.68,-36.01,56.65,200.46,64
0.83,-1.23,0.69,-19.79,62.07,228.78,64
0.97,-1.44,0.72,10.7,68.81,251.86,64
1.06,-1.52,0.85,25.21,70.49,258.57,64
1.24,-1.59,1.05,15.76,69.54,240.7,64
1.86,-1.57,1.03,6.22,69.66,198.35,64
1.57,-1.34,0.81,-3.2,60.27,149.51,64
1.11,-1.17,0.6,-24.85,25.34,121.86,64
0.83,-1.04,0.5,-32.8,-26.65,100.7,64
0.61,-0.84,0.46,-6.01,-68.75,70.49,64
0.39,-0.49,0.42,41.01,-95.27,45.24,64
0.21,-0.06,0.32,81.83,-110.52,34.33,64
0.19,0.36,0.05,106.95,-110.88,33.72,64
0.06,0.85,-0.32,116.4,-81.65,30.24,64
-0.15,0.94,-0.57,100.52,-38.23,-6.31,64
0.1,0.97,-0.43,47.65,-13.99,-107.77,64
0.61,0.95,-0.2,-37.41,-8.23,-217.32,64
1.03,0.56,-0.21,-96.68,4.97,-279.27,64
1.44,-0.14,0.1,-87.32,50.06,-309.66,64
1.79,-1.09,0.82,-48.41,102.84,-300.37,64
1.94,-1.36,1.43,-49.3,111.55,-233.9,64
2.07,-1.95,1.62,-113.05,85.85,-182.38,64
1.79,-2.24,1.52,-107.71,66.22,-158.81,64
1.26,-1.93,1.43,-49.97,55.91,-120.46,64
0.77,-1.68,1.21,-26.31,35.49,-75.55,64
0.36,-1.49,0.99,-22.04,12.23,-39.7,64
0.02,-1.34,0.86,-5.85,-3.38,-8.54,64
-0.25,-1.13,0.74,14.51,-6.77,19.7,64
-0.44,-0.91,0.54,20.91,0.58,37.26,64
-0.57,-0.7,0.32,13.26,7.07,47.13,64
-0.55,-0.51,0.16,-1.31,3.99,65.03,64
-0.41,-0.37,0.06,-12.99,-3.35,98.9,64
-0.22,-0.36,0.05,-12.32,-4.09,142.68,64
-0.04,-0.52,0.11,5,0.43,181.98,64
0.14,-0.61,0.23,31.37,7.26,212.16,64
0.27,-0.67,0.43,41.83,20.98,237.74,64
0.5,-0.87,0.57,25,31.4,257.71,64
0.78,-1.11,0.67,-2.29,38.93,274.18,64
1.15,-1.39,0.76,-15.91,47.26,285.55,64
1.44,-1.54,0.77,-4.63,57.62,286.37,64
1.48,-1.56,0.79,15.88,56.49,257.99,64
1.35,-1.42,0.77,22.5,39.05,206.83,64
1.23,-1.17,0.71,11.13,8.41,161.28,64
1.09,-1,0.64,-10.55,-27.16,126.68,64
0.89,-0.94,0.58,-21.98,-62.68,89.02,64
0.73,-0.86,0.52,-10.37,-87.8,36.77,64
0.64,-0.68,0.45,15.55,-94.6,-15.76,64
0.56,-0.33,0.26,37.5,-86.65,-53.93,64
0.48,0.15,0.03,40.12,-64.82,-77.87,64
0.5,0.56,-0.19,15.34,-37.68,-91.31,64
0.49,0.84,-0.42,-22.23,-13.38,-91.74,64
0.32,0.66,-0.51,-45.91,0.3,-90.49,64
0.21,0.42,-0.46,-36.25,9.09,-114.82,64
0.16,0.23,-0.3,1.1,36.16,-154.57,64
0.19,-0.07,0.01,39.66,62.1,-182.29,64
0.44,-0.64,0.47,63.63,73.66,-193.38,64
0.69,-1.17,0.96,67.62,105.64,-178.08,64
0.56,-1.42,1.25,32.71,141.37,-148.93,64
0.61,-1.99,1.35,-34.97,131.28,-144.51,64
0.84,-2.38,1.35,-63.26,117.62,-137.35,64
0.89,-2.22,1.41,-32.07,108.6,-94.36,64
0.5,-1.87,1.34,-10.79,80.15,-44.12,64
0.21,-1.68,1.19,-24.21,47.23,-20.52,64
0.02,-1.46,0.99,-47.5,29.33,-17.2,64
-0.17,-1.16,0.74,-70,16.98,-27.47,64
-0.31,-0.76,0.5,-89.6,0.52,-41.43,64
-0.45,-0.3,0.31,-92.71,-15.4,-45.27,64
-0.63,0.16,0.13,-77.65,-18.32,-36.16,64
-0.92,0.59,-0.04,-48.6,-6.43,1.4,64
-1.36,0.58,-0.2,-12.68,4.6,72.07,64
-1.37,0.39,-0.08,18.72,-5.27,75.73,64
-0.85,0.04,0.2,25.55,-21.22,22.96,64
-0.23,-0.84,0.59,8.41,-29.12,30.55,64
0.28,-1.28,0.74,1.52,-11.68,114.12,64
0.23,-1.43,0.83,19.45,16.74,194.27,64
0.34,-2.11,1.1,43.26,10.82,205.98,64
0.93,-2.51,1.26,58.48,6.4,203.87,64
1.48,-2.11,1.26,56.4,8.78,225.21,64
1.44,-1.69,1.25,35.12,-3.08,214.33,64
1,-1.52,1.14,7.44,-30.03,164.42,64
0.89,-1.42,1.05,3.35,-57.8,133.41,64
0.83,-1.38,1,19.66,-69.73,117.44,64
0.7,-1.21,0.92,42.62,-69.12,73.57,64
0.58,-0.93,0.77,55.43,-55.18,10.49,64
0.51,-0.64,0.49,51.68,-34.45,-35.76,64
0.48,-0.31,0.21,39.97,-9.76,-55.21,64
0.45,0.01,-0.03,22.01,16.4,-50.52,64
0.37,0.27,-0.25,-2.41,38.23,-32.68,64
0.25,0.42,-0.44,-18.93,51.62,-19.82,64
0.1,0.28,-0.53,-5.03,61.16,-19.66,64
0.01,0.03,-0.4,39.48,69.57,-29.39,64
0.02,-0.07,-0.16,78.57,78.41,-38.38,64
0.01,-0.18,0.12,81.16,83.99,-40.58,64
0.05,-0.33,0.36,53.81,82.56,-36.68,64
0,-0.52,0.6,24.48,81.01,-32.9,64
0.05,-1.01,0.94,18.45,74.7,-37.96,64
0.27,-1.58,1.24,40.73,77.77,-50.64,64
0.48,-1.75,1.36,66.49,81.04,-72.38,64
0.57,-1.54,1.5,70.46,45.85,-115.85,64
0.1,-1.31,1.54,35.95,-0.7,-160.46,64
-0.4,-1.32,1.44,-19.7,-58.51,-162.77,64
-0.71,-1.23,1.25,-42.56,-100.09,-143.78,64
-0.89,-0.94,1.07,-24.42,-103.51,-143.66,64
-1.05,-0.67,0.82,-8.99,-88.96,-164.66,64
-1.21,-0.53,0.57,-16.13,-80.27,-176.1,64
-1.14,-0.37,0.54,-29.91,-79.45,-146.16,64
-0.75,-0.49,0.78,-52.04,-72.53,-83.87,64
-0.32,-0.79,0.8,-79.88,-39.45,-21.83,64
-0.04,-1.05,0.48,-86.68,-2.38,56.43,64
0.17,-1.12,0.37,-40.09,8.41,152.16,64
